File Name,RoundingHeurLevel-0,RootCutLevel-1,StrongBranching-1,StrongBranching-0,RoundingHeurLevel-1,RootCutLevel-0,TreeCutLevel-0,DivingHeurLevel-1,TreeCutLevel-1,SubMipHeurLevel-1,SubMipHeurLevel-0,MipLogLevel-2,DivingHeurLevel-0
load_balancing_675,3600.03,2711.06,2657.73,2429.63,2508.8,3600.05,2950.22,2800.59,2529.54,2607.45,2322.64,2873.01,2579.89
load_balancing_676,3600.02,3600.04,3600.02,3600.01,3600.02,3600.03,476.83,3600.02,3600.02,282.57,3600.05,341.02,401.37
load_balancing_678,3600.01,3169.99,2989.97,3017.91,3415.37,3600.06,3544.47,3364.67,3600.03,3550.41,2794.48,3223.14,3394.94
load_balancing_680,547.49,698.31,537.43,444.53,568.11,3600.04,583.47,577.93,803.24,587.02,515.21,624.05,653.13
load_balancing_681,3600.02,2599.95,2653.97,2441.38,2894.11,3600.06,3358.84,3022.98,3600.03,3370.65,2598.02,2991.67,3055.56
load_balancing_682,3600.03,299.22,370.34,496.17,460.1,3600.06,428.39,354.05,602.98,343.31,359.42,345.54,392.89
load_balancing_683,3600.01,3600.03,2886.6,3600.03,3600.02,3600.02,3600.03,3600.02,3600.02,3600.02,3547.82,3470.83,2902.39
load_balancing_684,3600.02,1568.55,1113.2,1051.91,1056.92,3600.04,1109.69,1116.13,1353.72,1139.89,1018.18,1098.29,1127.88
load_balancing_685,3600.02,3600.02,3331.48,3600.02,3600.03,3600.06,3596.58,3600.04,3600.02,3600.02,3600.03,3600.02,3600.03
load_balancing_686,1884.65,691.36,591.66,563.6,959.96,3600.02,1040.41,759.85,864.82,715.32,625.71,797.97,852.33
load_balancing_687,3600.01,597.76,1370.37,626.41,649.87,3600.02,569.12,581.91,1156.22,561.32,512.0,1679.55,580.68
load_balancing_688,1885.26,750.45,675.72,688.34,686.62,3600.03,804.27,807.38,967.83,699.88,703.24,734.29,700.46
load_balancing_689,1704.46,1606.25,1014.15,1139.5,1244.18,3600.05,1292.12,1412.42,3600.04,1441.32,1307.34,1238.27,1241.58
load_balancing_690,3600.02,3407.91,3600.06,3600.03,3600.02,3600.02,3388.77,3600.03,3600.02,3528.7,3600.03,3600.02,3600.04
load_balancing_691,720.38,763.76,675.12,3312.56,655.43,3600.04,668.05,749.44,831.64,654.98,1188.46,3600.02,736.24
load_balancing_692,349.65,150.4,250.59,323.73,330.21,3600.02,252.73,149.99,394.19,238.7,276.46,252.05,148.26
load_balancing_693,1307.56,935.39,792.56,521.19,532.98,3600.03,452.01,941.54,726.48,498.55,384.81,871.21,873.96
load_balancing_694,3600.02,1011.01,3600.02,3600.02,656.9,3600.03,842.6,1276.65,3600.03,985.46,3600.02,3030.43,1410.62
load_balancing_695,3600.02,879.83,546.09,470.5,3600.02,3600.05,1196.72,687.72,1534.3,670.4,884.54,655.18,1237.22
load_balancing_696,599.61,309.12,509.81,499.35,654.74,3600.03,697.0,630.51,739.52,588.16,532.44,757.94,640.82
load_balancing_698,843.57,637.37,503.17,548.02,661.21,3600.03,595.29,559.81,783.73,644.26,527.84,562.44,553.74
load_balancing_7,2621.3,381.95,239.52,348.82,250.31,3600.04,402.74,246.94,326.34,240.73,315.43,248.01,250.17
load_balancing_70,3600.03,3144.2,3052.86,3062.78,3487.11,3600.03,3600.03,3362.23,3600.05,3600.03,3165.7,3589.13,3600.03
load_balancing_700,2905.69,2380.72,917.93,1215.57,1657.69,3600.04,1326.33,1255.62,3580.93,1254.3,1174.7,999.3,1358.88
load_balancing_702,2124.12,2209.57,2176.93,1997.72,2104.96,3600.05,2483.92,2275.3,2622.17,2184.28,2066.29,2348.89,2235.76
load_balancing_704,961.91,818.4,1008.66,860.23,887.13,3600.02,1110.85,1023.84,1119.6,850.08,906.59,1065.74,1016.23
