File Name,default,TreeCutLevel-1,RootCutLevel-1,StrongBranching-1
train_150_16_instance_1134,1.11,0.87,0.81,0.98
train_150_16_instance_1143,0.99,1.31,1.2,0.98
train_150_16_instance_1172,1.83,1.47,1.93,2.09
train_150_16_instance_1177,1.24,0.92,1.05,1.17
train_150_16_instance_1212,2.4,1.68,2.42,2.2
train_150_16_instance_1275,1.46,1.2,2.24,1.48
train_150_16_instance_1345,1.52,1.29,1.8,1.53
train_150_16_instance_1350,2.13,1.62,1.94,2.21
train_150_16_instance_1379,1.24,0.95,0.99,1.23
train_150_16_instance_1416,0.74,0.75,0.68,0.88
train_150_16_instance_1467,1.03,1.13,0.9,1.05
train_150_16_instance_1477,2.04,2.68,2.62,2.11
train_150_16_instance_1489,1.04,0.85,1.01,1.04
train_150_16_instance_1546,1.09,1.01,1.06,1.1
train_150_16_instance_1566,1.9,1.72,1.86,2.03
train_150_16_instance_157,1.77,1.92,1.14,1.75
train_150_16_instance_1594,3.03,1.93,2.77,2.74
train_150_16_instance_1616,2.17,1.88,2.36,2.2
train_150_16_instance_1633,0.88,0.89,0.96,0.91
train_150_16_instance_1636,0.99,1.01,1.02,0.98
train_150_16_instance_1654,1.88,1.44,2.06,2.05
train_150_16_instance_1671,2.16,2.37,1.4,1.97
train_150_16_instance_1677,1.3,1.05,1.33,1.19
train_150_16_instance_168,1.23,1.04,1.38,1.25
train_150_16_instance_1680,1.49,1.44,1.19,1.54
train_150_16_instance_174,1.09,0.98,1.07,1.07
train_150_16_instance_1842,1.95,1.24,1.18,1.85
train_150_16_instance_1871,1.51,1.27,1.32,1.69
train_150_16_instance_1876,0.87,0.82,0.88,0.9
train_150_16_instance_1983,1.66,1.76,1.63,1.77
train_150_16_instance_2007,1.71,1.27,1.65,1.73
train_150_16_instance_2057,2.47,2.77,2.09,2.35
train_150_16_instance_2063,2.07,1.25,1.49,2.0
train_150_16_instance_2128,1.76,1.74,2.54,1.85
train_150_16_instance_2163,1.17,0.98,1.29,1.36
train_150_16_instance_217,1.44,1.04,0.95,1.47
train_150_16_instance_2207,1.04,0.8,1.06,1.17
train_150_16_instance_2229,2.12,1.34,2.35,2.09
train_150_16_instance_2242,0.66,0.73,0.67,0.74
train_150_16_instance_2267,1.36,1.5,1.25,1.34
train_150_16_instance_2299,2.25,1.59,2.28,2.56
train_150_16_instance_2327,1.09,0.84,0.94,1.07
train_150_16_instance_2459,3.35,2.06,2.75,3.34
train_150_16_instance_2462,4.05,1.94,2.09,4.0
train_150_16_instance_247,2.84,1.3,1.32,2.84
train_150_16_instance_2517,1.74,1.39,1.19,1.71
train_150_16_instance_2560,0.91,0.93,0.88,0.88
train_150_16_instance_2574,1.3,1.07,1.36,1.34
train_150_16_instance_2604,1.42,1.41,1.63,1.37
train_150_16_instance_267,1.27,1.18,1.14,1.35
train_150_16_instance_2753,0.57,0.56,0.51,0.58
train_150_16_instance_2755,0.9,0.94,0.91,0.91
train_150_16_instance_2816,1.2,1.65,1.38,1.15
train_150_16_instance_2829,1.69,1.5,1.56,1.48
train_150_16_instance_2839,1.46,1.05,1.08,1.32
train_150_16_instance_2845,1.65,1.17,1.57,1.52
train_150_16_instance_2853,1.19,1.1,1.37,1.33
train_150_16_instance_289,2.1,2.07,2.0,2.04
train_150_16_instance_2901,1.24,1.33,1.44,1.35
train_150_16_instance_2912,2.61,1.98,1.86,2.7
train_150_16_instance_2916,1.81,1.58,1.9,1.76
train_150_16_instance_3018,1.31,1.05,1.2,1.36
train_150_16_instance_3039,0.99,1.01,0.98,1.06
train_150_16_instance_3041,1.08,0.99,0.95,1.12
train_150_16_instance_3049,1.66,1.87,1.61,1.78
train_150_16_instance_3053,1.65,1.33,1.5,1.65
train_150_16_instance_3095,3.11,2.34,2.56,3.35
train_150_16_instance_3229,1.4,1.34,1.36,1.4
train_150_16_instance_3230,1.64,1.25,1.29,1.6
train_150_16_instance_3245,1.39,1.18,1.44,1.34
train_150_16_instance_3251,1.12,0.84,0.77,1.14
train_150_16_instance_3327,0.85,0.77,0.72,0.77
train_150_16_instance_3340,0.96,1.09,0.87,0.98
train_150_16_instance_3408,2.35,1.55,3.08,2.32
train_150_16_instance_3428,1.01,1.02,1.35,1.16
train_150_16_instance_3455,1.04,0.95,1.23,1.03
train_150_16_instance_3496,2.92,2.54,2.46,2.83
train_150_16_instance_3510,2.13,1.28,1.75,2.12
train_150_16_instance_3565,2.77,2.13,1.93,2.73
train_150_16_instance_3586,0.96,1.12,0.96,1.0
train_150_16_instance_3625,1.12,0.84,1.0,0.91
train_150_16_instance_3660,1.44,1.27,1.6,1.52
train_150_16_instance_3690,1.91,1.38,2.11,1.85
train_150_16_instance_3738,1.22,1.15,1.46,1.33
train_150_16_instance_3793,1.02,1.05,0.98,1.01
train_150_16_instance_3825,1.41,1.2,1.2,1.4
train_150_16_instance_3902,1.04,0.93,0.91,1.08
train_150_16_instance_3915,1.58,1.05,1.56,1.61
train_150_16_instance_399,2.74,2.07,3.01,2.6
train_150_16_instance_408,1.55,1.47,1.45,1.55
train_150_16_instance_41,1.24,0.89,1.08,1.19
train_150_16_instance_428,1.17,1.22,1.2,1.17
train_150_16_instance_503,2.03,1.66,2.78,2.15
train_150_16_instance_556,2.43,1.53,1.86,2.23
train_150_16_instance_588,1.12,0.93,1.04,1.14
train_150_16_instance_591,1.13,1.1,0.95,1.07
train_150_16_instance_632,1.05,0.88,0.98,1.21
train_150_16_instance_639,1.95,1.25,1.9,1.87
train_150_16_instance_77,0.72,0.65,0.44,0.82
train_150_16_instance_776,3.09,1.43,2.1,2.97
train_150_16_instance_787,1.11,1.02,0.85,0.92
train_150_16_instance_790,2.45,1.86,3.13,2.42
train_150_16_instance_792,1.76,1.7,2.31,1.82
train_150_16_instance_817,1.11,1.54,1.09,1.08
train_150_16_instance_881,1.37,1.15,1.01,1.34
train_150_16_instance_92,2.53,1.8,1.89,2.51
train_150_16_instance_940,2.22,1.88,1.77,2.07
train_150_2_instance_1088,0.0,0.0,0.0,0.0
train_150_2_instance_1444,0.0,0.0,0.0,0.0
train_150_2_instance_1656,0.01,0.01,0.01,0.01
train_150_2_instance_1735,0.0,0.0,0.0,0.0
train_150_2_instance_1832,0.0,0.0,0.0,0.0
train_150_2_instance_2082,0.01,0.01,0.01,0.02
train_150_2_instance_2657,0.01,0.01,0.01,0.01
train_150_2_instance_2771,0.02,0.02,0.01,0.02
train_150_2_instance_312,0.01,0.01,0.01,0.01
train_150_2_instance_3174,0.02,0.02,0.02,0.02
train_150_2_instance_3756,0.01,0.01,0.01,0.01
train_150_32_instance_1054,0.13,0.12,0.13,0.13
train_150_32_instance_1091,0.14,0.15,0.13,0.14
train_150_32_instance_1118,0.19,0.19,0.19,0.19
train_150_32_instance_1154,0.17,0.18,0.18,0.16
train_150_32_instance_1206,0.19,0.18,0.17,0.17
train_150_32_instance_1230,0.19,0.19,0.19,0.18
train_150_32_instance_1241,0.15,0.14,0.13,0.14
train_150_32_instance_1271,0.24,0.23,0.24,0.24
train_150_32_instance_128,0.14,0.14,0.14,0.13
train_150_32_instance_1282,0.11,0.12,0.12,0.12
train_150_32_instance_1314,0.12,0.12,0.11,0.12
train_150_32_instance_1416,0.19,0.19,0.19,0.19
train_150_32_instance_1439,0.14,0.14,0.13,0.14
train_150_32_instance_1573,0.22,0.21,0.22,0.22
train_150_32_instance_1587,0.13,0.14,0.13,0.14
train_150_32_instance_165,0.11,0.12,0.12,0.12
train_150_32_instance_1665,0.18,0.19,0.19,0.19
train_150_32_instance_1722,0.12,0.12,0.12,0.11
train_150_32_instance_1779,0.16,0.19,0.19,0.17
train_150_32_instance_1802,0.12,0.12,0.12,0.11
train_150_32_instance_187,0.19,0.18,0.17,0.19
